id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
32719,"Omega
Stoppuhr Ref. MG 6351 + Ref. MG 6301 und 2x Omega Halter W 1732 Full Set aus 1973+1967","$3,415",Omega,,,,,,1967 (Approximation),Good,,65 mm,
4439,"Tudor Black Bay
Heritage Blue","$3,226",Tudor,Black Bay,79220B,,,,Unknown,Good,Men's watch/Unisex,41 mm,
1134,"Oris Big Crown
01 748 7756 4064-07 8 22 08","$2,376",Oris,Big Crown,01 748 7756 4064-07 8 22 08,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,44 mm,
59899,,"$4,300",Rolex,Lady-Datejust,69174,,Steel,Steel,1996,,,26 mm,Fair
35711,,"$12,365",Rolex,Datejust 31,68278,,,,Unknown,,,31 mm,Very good
2595,"TAG Heuer Carrera Porsche Chronograph Special Edition
CBN2A1F.BA0643","$7,994",TAG Heuer,Carrera Porsche Chronograph Special Edition,CBN2A1F.BA0643,,,,Unknown,New,Men's watch/Unisex,44 mm,
1658,"Cartier Tank Louis Cartier
Small Model","$12,229",Cartier,Tank Louis Cartier,WGTA0010,Manual winding,Rose gold,Crocodile skin,2023,Unworn,Women's watch,29.5 x 22 mm,
11352,,"$3,638",Rolex,Oyster Perpetual 36,1018,,,,Unknown,,,35 mm,Fair
24955,,"$14,107",Rolex,Submariner (No Date),5513,,,,1966,,,40 mm,Good
6765,"Panerai Luminor Marina 1950 3 Days Automatic
Titanium Mens Watch PAM00351 Box Papers","$5,750",Panerai,Luminor Marina 1950 3 Days Automatic,PAM00351,Automatic,Titanium,Rubber,2014,Very good,Men's watch/Unisex,44 mm,
25074,"Omega De Ville Prestige
保証書付き OMEGA オメガ デビル プレステージ 8Pダイヤ 424.10.27.60.53.001 クォーツ レディース_711257 中古 ev15","$1,091",Omega,De Ville Prestige,424.10.27.60.53.001,Quartz,Steel,Steel,Unknown,Fair,Women's watch,27 mm,
34137,,"$16,652",Rolex,Datejust 36,126234 Bright Blue Fluted Jubilee,,,,2023,,,36 mm,New
53,"Vacheron Constantin Overseas Dual Time
41mm",Price on request,Vacheron Constantin,Overseas Dual Time,7900V/110A-B546,Automatic,Steel,Steel,2022,Unworn,Men's watch/Unisex,41 mm,
14743,"Seiko
SNM009 Original White Steel Samurai","$1,039",Seiko,,,,,,2004 (Approximation),Very good,Men's watch/Unisex,42 mm,
59910,,"$17,785",Rolex,GMT-Master II,116710BLNR,,Steel,Steel,2017,,,40 mm,New
