id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
15633,"Cartier Santos
Moon Phase Khanjar Quartz Watch W20005C5","$22,995",Cartier,Santos,,Quartz,Yellow gold,Yellow gold,Unknown,Good,Women's watch,29 mm,
33074,,Price on request,Rolex,Datejust 36,116243,,Gold/Steel,Gold/Steel,Unknown,,,36 mm,Unworn
49018,,"$11,100",Rolex,Datejust Turn-O-Graph,116261,,,,2003 (Approximation),,,36 mm,Very good
7354,"Patek Philippe Nautilus
5980/1A-014","$133,133",Patek Philippe,Nautilus,5980/1A-014,,,,2013,Very good,Men's watch/Unisex,40.5 mm,
38914,"Omega Constellation Double Eagle
Black Dial Steel Mens Watch 1513.51.00","$2,820",Omega,Constellation Double Eagle,1513.51.00,Quartz,Steel,Steel,Unknown,Very good,Men's watch/Unisex,38 mm,
9247,"Omega Seamaster Planet Ocean
6000m Ultra Deep",Price on request,Omega,Seamaster Planet Ocean,215.32.46.21.03.001,,,,2023 (Approximation),Unworn,Men's watch/Unisex,45.5 mm,
5520,"Richard Mille
RM65-01 Automatic Winding Split-seconds Chronograph",Price on request,Richard Mille,,,,,,2023,Unworn,Men's watch/Unisex,44.50 x 50 mm,
8816,"Tudor Tiger Prince Date
79280 Tiger Prince Chrono Pre-Owned B&P Set","$6,950",Tudor,Tiger Prince Date,79280,Automatic,Steel,Steel,Unknown,Good,Men's watch/Unisex,40 mm,
455,"Jaeger-LeCoultre Atmos
von Colani Designeruhr aus den 1970er Jahren mit Box","$20,128",Jaeger-LeCoultre,Atmos,,,,,1975 (Approximation),Good,,,
1912,"Seiko
Discover More Titanium Quartz SUR377 SUR377P1 SUR377P 100M Men's Watch",$208,Seiko,,SUR377P1,,,,Unknown,New,Men's watch/Unisex,40 mm,
14434,"Cartier
Must de Cartier Ladies Gold Stainless Steel 32MM Quartz Watch",$995,Cartier,,,,,,Unknown,Good,Women's watch,32 mm,
7134,"Patek Philippe Perpetual Calendar Chronograph
5270P-001","$195,493",Patek Philippe,Perpetual Calendar Chronograph,5270P-001,,,,2020,Good,Men's watch/Unisex,41 mm,
3704,"Zenith
very rare PRIMA 17 jewels gold plated BIG case serviced",$322,Zenith,,,,,,Unknown,Very good,Men's watch/Unisex,54 mm,
11798,"Longines Legend Diver
L3.674.4.50.0","$2,155",Longines,Legend Diver,L3.674.4.50.0,,,,2022,Very good,Men's watch/Unisex,42 mm,
5531,"TAG Heuer Aquaracer 300M
Steel 39mm Black Dial Ref. WAP1110.BA0831","$1,613",TAG Heuer,Aquaracer 300M,WAP1110.BA0831,Quartz,Steel,Steel,Unknown,Very good,Men's watch/Unisex,39 mm,
1325,"Audemars Piguet Royal Oak Chronograph
25860ST.OO.1110ST.05","$42,913",Audemars Piguet,Royal Oak Chronograph,25860ST.OO.1110ST.05,,,,2006,Very good,Men's watch/Unisex,39 mm,
4338,"Tudor Black Bay 36
M79500-0004","$2,874",Tudor,Black Bay 36,M79500-0004,,,,2020,Very good,Men's watch/Unisex,36 mm,
986,"Vacheron Constantin
Automatic Geneve 36 mm 18kt ref 6394","$8,741",Vacheron Constantin,,6394,,,,1970,Very good,Men's watch/Unisex,36 mm,
530,"Jaeger-LeCoultre Reverso Duetto
266.8.44","$8,281",Jaeger-LeCoultre,Reverso Duetto,266.8.44,Manual winding,Steel,Steel,2000,Very good,Women's watch,21 x 33 mm,
2826,"Tudor Black Bay
41","$4,417",Tudor,Black Bay,M79230B-0008,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,41 mm,
2839,"Oris Divers Sixty Five
42mm Black Dial Brown Leather Strap Ref.733 7720 4054","$1,461",Oris,Divers Sixty Five,01 733 7720 4054-07 5 21 45,Automatic,Steel,Leather,2022 (Approximation),New,Men's watch/Unisex,42 mm,
66076,,"$18,720",Rolex,Submariner Date,126613LN,,,,2020,,,41 mm,Very good
25289,,"$21,192",Rolex,Sky-Dweller,326933,,,,2018,,,42 mm,Very good
2466,"Tudor Prince Date
チュードル クロノタイム タイガー 79260 SS","$4,179",Tudor,Prince Date,79260,Automatic,Steel,,Unknown,Good,,40 mm,
13182,"Omega Speedmaster Professional Moonwatch
Pre Moon Transitional 145.022-68ST with Omega Extract From The Archives","$9,976",Omega,Speedmaster Professional Moonwatch,145.022 - 68 ST,,,,1968,Very good,Men's watch/Unisex,42 mm,
58839,,"$35,805",Rolex,Yacht-Master II,116689,,White gold,White gold,2009,,,44 mm,Good
7750,"Longines Présence
L49212527","$1,270",Longines,Présence,L49212527,,,,Unknown,New,Men's watch/Unisex,,
10715,,Price on request,Rolex,Sky-Dweller,326934,,Steel,Steel,2023,,,42 mm,Unworn
19063,"Omega Seamaster Diver 300 M
Co-Axial Chronograph","$5,744",Omega,Seamaster Diver 300 M,212.30.44.50.01.001,Automatic,Steel,Steel,2014,Very good,Men's watch/Unisex,44 mm,
12756,"Hublot Classic Fusion Blue
Automatic Blue Dial Box and Papers PreOwned 511.NX.7170.LR","$7,500",Hublot,Classic Fusion Blue,511.NX.7170.LR,,,,Unknown,Very good,Men's watch/Unisex,45 mm,
3162,,"$17,944",Rolex,Yacht-Master 40,16623,,Gold/Steel,Gold/Steel,2006,,,40 mm,Very good
14189,"Cartier Ballon Bleu
WJBB0033 Rose Gold With Burgundy (Alligator) Leather Watch","$19,900",Cartier,Ballon Bleu,WJBB0033,Automatic,Rose gold,Crocodile skin,Unknown,Unworn,Men's watch/Unisex,33 mm,
37015,"Omega Seamaster Aqua Terra
NEW 2023 Seamaster Aqua Terra GREEN DIAL","$5,299",Omega,Seamaster Aqua Terra,220.10.41.21.10.001,,,,2023,New,Men's watch/Unisex,41 mm,
67236,,Price on request,Rolex,,4498,,,,1947,,,35 mm,Very good
3989,"Hublot Big Bang
Pave","$37,485",Hublot,Big Bang,465.OE.2080.RW.1604,,,,2023,Unworn,,39 mm,
4120,"Omega Seamaster Aqua Terra
220.10.38.20.55.001 - Seamaster Aqua Terra 150M Co-Axial Master Chronometer Ladies' 38 mm","$6,745",Omega,Seamaster Aqua Terra,220.10.38.20.55.001,Automatic,Steel,Steel,Unknown,New,Women's watch,38 mm,
4496,"Longines DolceVita
Quartz 23.3 x 37 mm","$2,304",Longines,DolceVita,L5.512.5.75.7,,,,Unknown,New,Women's watch,23.3 x 37 mm,
