id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
23351,,"$1,138",Rolex,,,,White gold,Leather,Unknown,,,15 mm,Fair
8251,"Longines Master Collection
L2.909.4.77.6","$2,865",Longines,Master Collection,L2.909.4.77.6,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,,
10110,"Seiko Neo Classic
Sport Crono Correa Marron",$242,Seiko,,SSB385P1,Quartz,Steel,Leather,Unknown,New,Men's watch/Unisex,42 mm,
21387,,"$45,627",Rolex,Daytona,116515ln,,,,2018 (Approximation),,,40 mm,Good
4843,"Breitling Navitimer
Automatic 38",Price on request,Breitling,Navitimer,A17325211C1P4,Automatic,Steel,Crocodile skin,2023,New,Men's watch/Unisex,38 mm,
12698,"Seiko Astron GPS Solar
SBXB080/8X53-0AM0-2","$1,433",Seiko,Astron GPS Solar,,,,,Unknown,Very good,,"Management number: 155231/ECNMEST/NCWW

Brand: Seiko

Model number: SBXB080/8X53-0AM0-2

Color/Material: Titanium/Ceramic/SS Genuine 9P Diamond/Red Dial Genuine Rubber Belt/Genuine Buckle

Movement: Solar Radio

Size: Case diameter: Approx. 45mm (excluding crown) Arm circumference: Max. approx. 23.5cm Belt width: Approx. 22mm *Please allow for slight errors. * If there are extra frames in the accessories, the size will include them.

Accessories: Box, guarantee, instruction manual, replacement belt (degraded), tag,

Product condition: [Glass]: No chips or cracks, very clean condition [Dial, hands]: Diamond / No chips or cracks, very clean condition [Bezel]: No chips or cracks, very clean condition [Case]: Minor scratches from use and wiping, clean condition [Bracelet]: There is a feeling of use, buckle / minor scratches from use and wiping, clean condition, no other major damage to note, clean condition It is your product.

remarks:",
3094,"Vacheron Constantin Overseas
Stainless Steel Silver 42mm 47040/B01A-9093","$20,905",Vacheron Constantin,Overseas,47040/B01A-9093,,,,2018,Very good,Men's watch/Unisex,42 mm,
8912,"Cartier Santos
De Cartier Skeleton","$29,671",Cartier,Santos,WHSA0015,,,,2023,New,Men's watch/Unisex,39.8 mm,
31168,"Omega De Ville Prestige
オメガ OMEGA デ・ヴィル PRESTIG﻿E コーアクシャル クロノメーター424.13.40.20.06.002","$2,785",Omega,De Ville Prestige,424.13.40.20.06.002,Automatic,Steel,,Unknown,Good,Men's watch/Unisex,39.5 mm,
15673,"Omega De Ville Co-Axial
431.10.41.21.01.001","$2,965",Omega,De Ville Co-Axial,431.10.41.21.01.001,Automatic,Steel,Steel,Unknown,New,Men's watch/Unisex,41 mm,
9487,"IWC Portofino Automatic
Rose Gold Unworn","$11,500",IWC,Portofino Automatic,IW458107,,,,2021 (Approximation),Unworn,Women's watch,37 mm,
1855,"Tudor Glamour Date
55000-0006 - Glamour Automatic Silver-tone Dial Stainless Steel Unisex Watch","$2,915",Tudor,Glamour Date,55000-0006,Automatic,Steel,Steel,Unknown,New,Men's watch/Unisex,36 mm,
27710,"Omega Seamaster Diver 300 M
Professional 300M Co-Axial Chronometer - 007 James Bond Quantum of Solace","$5,471",Omega,Seamaster Diver 300 M,212.30.41.20.01.001,,,,2008 (Approximation),Very good,Men's watch/Unisex,41 mm,
52239,,"$23,091",Rolex,Yacht-Master II,116681,,Gold/Steel,Gold/Steel,Unknown,,,44 mm,Very good
27381,,"$14,558",Rolex,Submariner (No Date),5513,,Steel,Steel,1986,,,40 mm,Good
21416,"Omega
Megaquartz 32 Khz",$684,Omega,,196.0033,,,,1971 (Approximation),Very good,Men's watch/Unisex,39 x 45 mm,
4415,"Zenith Captain Chronograph
18.2110.400/01.C498","$11,271",Zenith,Captain Chronograph,18.2110.400/01.C498,,,,2011,Very good,Men's watch/Unisex,42 mm,
168,"Longines Spirit
flyback l3.821.4.53.6","$4,468",Longines,Spirit,L3.821.4.53.6,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,42 mm,
1944,"Vacheron Constantin Patrimony
ultraslim Serviced with paper","$5,521",Vacheron Constantin,Patrimony,34014,,,,1979,Very good,Men's watch/Unisex,33 mm,
12952,"TAG Heuer Carrera
Automatic Chronograph 44mm - Inventory 4033","$4,049",TAG Heuer,Carrera,CBN2A5A,Automatic,Steel,Crocodile skin,Unknown,Very good,Men's watch/Unisex,44 mm,
