id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
32719,"Omega
Stoppuhr Ref. MG 6351 + Ref. MG 6301 und 2x Omega Halter W 1732 Full Set aus 1973+1967","$3,415",Omega,,,,,,1967 (Approximation),Good,,65 mm,
4439,"Tudor Black Bay
Heritage Blue","$3,226",Tudor,Black Bay,79220B,,,,Unknown,Good,Men's watch/Unisex,41 mm,
3054,"Omega De Ville Prestige
32,7MM.Co-Axial.Steel/Red Gold,Blue Dial","$7,548",Omega,De Ville Prestige,"424.20.33.20.53.001-De Ville Prestige Coassiale 32,7MM",,,,2017 (Approximation),New,Women's watch,"32,7 mm",
46630,,"$15,995",Rolex,Datejust 36,126234,,Steel,Steel,2023,,,36 mm,New
37508,"Omega
Omegamania Ladies 18k White Gold/Diamonds MOP Watch w. Box 5886.73.53","$2,899",Omega,,,,,,Unknown,Good,Men's watch/Unisex,27 mm,
510,"Jaeger-LeCoultre
2268","$1,955",Jaeger-LeCoultre,,,,,,Unknown,Very good,Men's watch/Unisex,32 mm,
9238,"Cartier Santos Galbée
187901","$4,499",Cartier,Santos Galbée,187901,Quartz,Gold/Steel,Gold/Steel,1990 (Approximation),Very good,Men's watch/Unisex,29 x 41 mm,
9447,"Patek Philippe Twenty~4
18K Solid Gold Diamonds 4910/41G","$39,999",Patek Philippe,Twenty~4,,,,,Unknown,Very good,Women's watch,25 x 30 mm,
39687,,"$18,500",Rolex,Sky-Dweller,326934,,Steel,Steel,2018,,,42 mm,Very good
46686,,"$8,999",Rolex,Oyster Perpetual 41,124300,,Steel,Steel,2023,,,41 mm,Unworn
8153,"IWC Portuguese Chronograph
Portugieser Chronograph Stainless Steel IW371447 - W010202","$5,965",IWC,Portuguese Chronograph,IW371447,Automatic,Steel,Crocodile skin,2017,Very good,Men's watch/Unisex,41 mm,
68582,,Price on request,Rolex,Day-Date 40,228206,,Platinum,Platinum,2020,,,40 x 48 mm,Unworn
21429,,"$5,909",Rolex,Oyster Perpetual Date,115200,,,,Unknown,,,34 mm,Good
9151,"Omega Constellation Quartz
123.15.24.60.55.001","$1,750",Omega,Constellation Quartz,123.15.24.60.55.001,Quartz,Steel,,Unknown,Good,,24 mm,
13837,"Seiko Prospex
Save The Ocean",$419,Seiko,Prospex,SRPC93K1,,,,2018,Very good,Men's watch/Unisex,43.8 mm,
