id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
12466,,"$18,466",Rolex,GMT-Master II,126710BLNR,,Steel,Steel,2021,,,40 mm,Unworn
7978,"Tudor Submariner
Date 79090 Patina Blue Dial Steel Automatic Watch 40mm Complete","$9,995",Tudor,Submariner,,,,,Unknown,Good,Men's watch/Unisex,40 mm,
6526,"Seiko Prospex
SBEC007 SRQ035J1 Automatic 8R46 10 bar watch","$2,174",Seiko,Prospex,SBEC007,,,,2021,New,,,
4653,"Tudor Black Bay Bronze
79250BA","$3,704",Tudor,Black Bay Bronze,79250BA,,,,2021 (Approximation),Very good,Men's watch/Unisex,43 mm,
39233,,"$5,970",Rolex,Explorer,14270,,Steel,Steel,1996,,,36 x 43 mm,Good
9670,"IWC Pilot Chronograph
IW377704","$3,800",IWC,Pilot Chronograph,IW377704,,,,2013,Very good,Men's watch/Unisex,43 mm,
390,"Jaeger-LeCoultre Master Ultra Thin Moon
39 \" NOS \"",Price on request,Jaeger-LeCoultre,Master Ultra Thin Moon,,,,,2015,Unworn,Men's watch/Unisex,,
11620,"Audemars Piguet Royal Oak Chronograph
Blue Dial Chronograph 26331ST.OO.1220ST.01","$57,888",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.01,,,,2018 (Approximation),Unworn,Men's watch/Unisex,41 mm,
2186,"Patek Philippe Aquanaut
5268/200R-001","$103,240",Patek Philippe,Aquanaut,5268/200R-001,,,,Unknown,New,Women's watch,38.8 mm,
12062,"Longines
anni 60","$4,585",Longines,,,,,,1960 (Approximation),Unworn,Women's watch,10 mm,
200,"Tudor Black Bay
79230B Heritage Black Bay Blue Bezel Steel 41mm Card","$2,598",Tudor,Black Bay,79230B,,,,2022,Very good,Men's watch/Unisex,41 mm,
1839,"Vacheron Constantin Overseas
VC Serviced","$21,278",Vacheron Constantin,Overseas,47040/B01A-9093,,,,Unknown,Very good,Men's watch/Unisex,42 mm,
20006,,"$16,928",Rolex,Yacht-Master 40,126622,,Steel,Steel,2022,,,40 mm,Unworn
48961,,"$25,575",Rolex,Daytona,116503,,,,2019,,,40 mm,Very good
8461,"Tudor 1926
M91550-0005","$1,475",Tudor,1926,M91550-0005,,,,Unknown,Good,Men's watch/Unisex,39 mm,
10993,"Audemars Piguet Royal Oak Offshore Diver
15710ST.OO.A052CA.01","$40,000",Audemars Piguet,Royal Oak Offshore Diver,15710ST.OO.A052CA.01,,,,2018,Very good,Men's watch/Unisex,42 mm,
811,"Patek Philippe Annual Calendar
5396R","$59,742",Patek Philippe,Annual Calendar,5396R,Automatic,Rose gold,Leather,2021,Very good,Men's watch/Unisex,39 mm,
2607,"Cartier Panthère
Stahl/gold Vintage Schön Zustand Armbanduhr 22mm Papiere Ca004","$1,729",Cartier,Panthère,,,,,Unknown,Good,,22 mm,
