id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
32719,"Omega
Stoppuhr Ref. MG 6351 + Ref. MG 6301 und 2x Omega Halter W 1732 Full Set aus 1973+1967","$3,415",Omega,,,,,,1967 (Approximation),Good,,65 mm,
4439,"Tudor Black Bay
Heritage Blue","$3,226",Tudor,Black Bay,79220B,,,,Unknown,Good,Men's watch/Unisex,41 mm,
31812,"Omega Seamaster Aqua Terra
オメガ OMEGA シーマスター アクアテラ 150﻿M マスター コーアクシャル クロノメーター 41.5M﻿M231.20.42.21.08.001","$6,206",Omega,Seamaster Aqua Terra,231.20.42.21.08.001,Automatic,Gold/Steel,,Unknown,Unworn,Men's watch/Unisex,41.5 mm,
28792,,"$15,055",Rolex,Datejust 31,68246,,,,Unknown,,,31 mm,Very good
6204,"Longines Master Collection
l2.257.5.89.7","$3,168",Longines,Master Collection,L2.257.5.89.7,Automatic,Steel,Steel,2023,New,Women's watch,29 mm,
59598,,"$13,321",Rolex,Datejust 41,126300,,Steel,Steel,2023,,,41 x 48 mm,Unworn
5256,"Jaeger-LeCoultre Memovox
1966 Memovox Vintage Mens Reveil Wrist Alarm - 14K Gold","$2,732",Jaeger-LeCoultre,,,Manual winding,Yellow gold,Calf skin,1966,Very good,Men's watch/Unisex,34 x 39 mm,
6003,"Tudor
チューダー/チュードル ペラゴス39 TI M25407N-0001 TI 自動巻","$4,792",Tudor,,M25407N-0001,,,,Unknown,Unworn,Men's watch/Unisex,39 mm,
4344,"Panerai Luminor Marina 1950 3 Days Automatic
PAM00359 Dirty Dial unpoliert - 2014","$5,127",Panerai,Luminor Marina 1950 3 Days Automatic,PAM 00359,Automatic,Steel,Leather,2014 (Approximation),Very good,Men's watch/Unisex,44 mm,
6176,"IWC Big Pilot
Große Fliegeruhr Big Pilot Beobachtungsuhr von 1940","$60,431",IWC,Big Pilot,,,,,1940,Very good,Men's watch/Unisex,55 x 67 mm,
17325,"Breitling Navitimer 1 B01 Chronograph
41 Men's Watch AB0139211G1P1","$6,875",Breitling,Navitimer 1 B01 Chronograph,AB0139211G1P1,Automatic,Steel,Leather,Unknown,New,,41 mm,
9042,"Cartier Santos Dumont
Small Rose Gold Grey Alligator Unisex Watch","$10,700",Cartier,Santos Dumont,WGSA0022,Quartz,Rose gold,Crocodile skin,2023,New,Men's watch/Unisex,38 x 27.5 mm,
