id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
61239,,"$4,895",Rolex,Oyster Perpetual 34,6564,,Steel,Leather,Unknown,,,34 mm,Good
11125,"Hublot Big Bang 44 mm
Chronograph 44mm 301.SX.1170.RX.1704","$24,846",Hublot,Big Bang 44 mm,301.SX.1170.RX.1704,Automatic,Steel,Rubber,Unknown,Unworn,Men's watch/Unisex,44.5 mm,
12612,"Omega De Ville Ladymatic
425.32.34.20.55.002","$8,083",Omega,De Ville Ladymatic,425.32.34.20.55.002,Automatic,Steel,Leather,2023,New,Women's watch,34 mm,
39147,,"$3,200",Rolex,Oyster Perpetual Date,1501,,Steel,Steel,1970,,,34 x 42 mm,Good
192,"Zenith El Primero Chronomaster
A385 Revival","$4,154",Zenith,El Primero Chronomaster,03.A384.400/385.C855,,,,2021,Very good,Men's watch/Unisex,37 mm,
20213,"Omega Seamaster Aqua Terra
150M Master Co-Axial Chronometer Ladies Watch","$28,000",Omega,Seamaster Aqua Terra,231.58.39.21.55.001,Automatic,Rose gold,Crocodile skin,2023,New,Women's watch,38.5 mm,
38795,,"$24,500",Rolex,Datejust 36,126284 RBR,,,,Unknown,,,36 mm,Unworn
2033,Omega Constellation,"$7,240",Omega,Constellation,,,,,Unknown,Very good,Men's watch/Unisex,39 x 33 mm,
37778,"Omega Constellation Double Eagle
1503.30.00","$2,000",Omega,Constellation Double Eagle,1503.30.00,,,,Unknown,Good,Men's watch/Unisex,,
6306,"Longines
Chronograph","$6,648",Longines,,13ZN,,,,1940,Very good,Men's watch/Unisex,,
7486,"Breitling Navitimer 1 B01 Chronograph
41 Japan Limited RB01391A1Q1P1 Belt not included","$13,300",Breitling,Navitimer 1 B01 Chronograph,,Automatic,Red gold,Crocodile skin,2022 (Approximation),Very good,Men's watch/Unisex,41 mm,
4131,"Jaeger-LeCoultre Memovox
18k Gold Bumper Automatic","$4,888",Jaeger-LeCoultre,,,,,,1960 (Approximation),Good,Men's watch/Unisex,37 x 39 mm,
12685,"Longines Conquest Classic
L2.786.4 コンクエスト クラシック クロノグラフ デイト 自動巻き メンズ 752850 中古","$1,145",Longines,Conquest Classic,L2.786.4,Automatic,Steel,Steel,Unknown,Fair,Men's watch/Unisex,40 mm,
4786,"Audemars Piguet Royal Oak Offshore Lady
26048SK.ZZ.D035CA.01","$36,071",Audemars Piguet,Royal Oak Offshore Lady,26048SK.ZZ.D035CA.01,,,,Unknown,Very good,Women's watch,37 mm,
936,"Tudor Royal
28mm","$1,955",Tudor,Royal,M28300-0001,,,,2022,New,Men's watch/Unisex,,
39692,,"$6,292",Rolex,Datejust 36,16013,,,,Unknown,,,36 mm,Unworn
29786,,"$6,995",Rolex,Datejust,,,Gold/Steel,Gold/Steel,Unknown,,,36 mm,Good
45157,,"$7,670",Rolex,Datejust 36,16233,,,,1995 (Approximation),,,36 mm,Very good
29482,,"$10,157",Rolex,Submariner Date,16610,,Steel,Steel,1999,,,40 mm,Very good
