id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
16287,"Breitling Superocean 42
Automatic Orange Dial Stainless Steel 42mm (A17366D7101A1) - BOX & PAPERS","$3,850",Breitling,Superocean 42,A17366D7101A1,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,42 mm,
8225,,"$8,977",Rolex,Lady-Datejust,6917,,Rose gold,Rose gold,1974,,,26 mm,Very good
5114,,"$20,332",Rolex,Oyster Perpetual 41,124300,,Steel,Steel,Unknown,,,41 mm,New
11891,"Patek Philippe Calatrava
Disco Volante Yellow Gold Vintage Mens Watch 2551","$23,220",Patek Philippe,Calatrava,2551J,Automatic,,,1956,Good,Men's watch/Unisex,36 mm,
9159,"TAG Heuer Carrera Calibre 1887
CAR2110.BA0724 41mm 26/10/2014 8137U","$2,644",TAG Heuer,Carrera Calibre 1887,CAR2110.BA0720,,,,2014,Very good,,41 mm,
1722,"Jaeger-LeCoultre Master Ultra Thin Perpetual
Q130354J or 130354J",Price on request,Jaeger-LeCoultre,Master Ultra Thin Perpetual,,,,,Unknown,New,Men's watch/Unisex,39 mm,
33981,"Omega De Ville Trésor
Mini Tresor Quartz 26mm 428.57.26.60.04.001","$7,483",Omega,De Ville Trésor,,Quartz,Yellow gold,Textile,2023,New,Women's watch,26 mm,
13226,"Cartier Panthère
Quartz 27mm 3 Row Gold 1.25TCW DIAMOND Watch","$5,800",Cartier,Panthère,,,,,Unknown,Very good,Women's watch,,
8222,"Longines La Grande Classique
De Longines","$1,536",Longines,La Grande Classique,L4.918.4.94.6,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,,
1472,"Seiko Scuba
Automatic Diver's Brown Leather SKX009K1-var-LS9 200M Men's Watch",$555,Seiko,,SKX009K1,Automatic,Steel,,Unknown,New,Men's watch/Unisex,42 mm,
212,"Breitling Avenger
Automatic 43","$3,479",Breitling,Avenger,A17318101C1A1,,,,2023 (Approximation),Unworn,Men's watch/Unisex,43 mm,
11901,,Price on request,Rolex,Datejust 41,126300,,Steel,Steel,2019,,,41 mm,Unworn
7224,"Longines Lyre
White Quartz Lyre Stainless L4.859.4.11.6",$935,Longines,Lyre,L4.859.4.11.6,,,,Unknown,New,Men's watch/Unisex,38.5 mm,
21945,,"$9,367",Rolex,Explorer II,16570,,Steel,Steel,2002,,,40 mm,Very good
14886,,"$3,864",Rolex,Oyster Perpetual Date,15200,,,,Unknown,,,34 mm,Very good
998,"Panerai
PAM00663 - Luminor 1950 Manual-winding Brown Dial 47 mm Men's Watch","$8,307",Panerai,,PAM00663,,,,Unknown,New,Men's watch/Unisex,47 mm,
8219,"Omega Seamaster
Calendar Cal 503 Gold Plated Mens Watch 2849 BF559354",$566,Omega,Seamaster,2849,Automatic,,,Unknown,Fair,Men's watch/Unisex,34 mm,
2763,"Vacheron Constantin Patrimony
YELLOW GOLD 18K 32MM VINTAGE CALIBRO 1002","$5,521",Vacheron Constantin,Patrimony,,,,,1960 (Approximation),Very good,Women's watch,32 mm,
13053,"Cartier Santos
OCTAGON Quartz 31mm 2 Tone 0.38TCW DIAMOND Watch","$2,300",Cartier,Santos,,,,,Unknown,Good,Women's watch,,
35505,,"$8,315",Rolex,Explorer II,16570,,,,1999,,,40 mm,Very good
71304,,"$15,163",Rolex,Lady-Datejust,6917,,Yellow gold,Yellow gold,Unknown,,,26 mm,Good
1002,"Audemars Piguet Royal Oak Chronograph
Leo Messi Chronograph","$55,389",Audemars Piguet,Royal Oak Chronograph,26325TS.OO.D005CR.01,,,,2014,Very good,Men's watch/Unisex,41 mm,
7381,"IWC Portuguese Chronograph
IW371492","$7,727",IWC,Portuguese Chronograph,IW371492,Automatic,,,Unknown,Very good,Men's watch/Unisex,40.9 mm,
7775,"TAG Heuer Aquaracer 300M
WAY201A.BA0927","$1,863",TAG Heuer,Aquaracer 300M,WAY201A.BA0927,,,,2018,Very good,Men's watch/Unisex,43 mm,
