id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
2010,"Audemars Piguet Royal Oak Jumbo
\"JUMBO\" EXTRA-THIN","$87,020",Audemars Piguet,Royal Oak Jumbo,16202ST.OO.1240ST.02,,,,Unknown,New,Men's watch/Unisex,39 mm,
3487,"Oris
SALE オリス プロダイバー クロノグラフ 7630.71 メンズ","$1,195",Oris,,,,,,Unknown,Good,Men's watch/Unisex,50 mm,
1289,"Zenith
Vintage Herren Uhr 34mm Stahl Vintage Handaufzug Rar Armbanduhr Schön",$493,Zenith,,,,,,Unknown,Good,,34 mm,
12699,"Hublot Classic Fusion Aerofusion
525.NX.0170.LR 45mm Titanium Watch","$9,450",Hublot,Classic Fusion Aerofusion,525.NX.0170.LR,Automatic,Titanium,Rubber,2010,Very good,Men's watch/Unisex,45 mm,
1967,"Longines
[EXCELLENT+5] LONGINES Gold Dial Manual watch w/BOX Unisex From JAPAN W801",$379,Longines,,,,,,Unknown,Good,Men's watch/Unisex,35 mm,
21278,"Omega
carrè laminato oro",$570,Omega,,,,,,1950 (Approximation),Unworn,Women's watch,18 x 21 mm,
8275,"Omega Constellation Ladies
Diamond Steel Quartz Ladies Watch 1562.36 BF561281",$978,Omega,Constellation Ladies,,Quartz,Steel,Steel,Unknown,Good,Women's watch,22 mm,
37670,,"$5,999",Rolex,Oyster Perpetual Date,,,Steel,Steel,Unknown,,,34 mm,Very good
6306,,"$63,781",Rolex,Submariner Date,126618LB-0002,,,Yellow gold,Unknown,,,41 mm,New
7376,"A. Lange & Söhne Richard Lange
Tourbillon Pour Le Merite Platinum 760.025F Limited 100 pcs","$140,090",A. Lange & Söhne,Richard Lange,,Manual winding,Platinum,Crocodile skin,2020,Very good,,41.9 mm,
15450,"Seiko Ananta
セイコー クロノグラフ SDGZ003/8R28-00R0 自動巻き メンズ_712872 中古",$695,Seiko,Ananta,,Automatic,Steel,Steel,Unknown,Fair,Men's watch/Unisex,42 mm,
14030,"Breitling for Bentley
Limited Diamonds","$13,999",Breitling,for Bentley,,,,,Unknown,Very good,Men's watch/Unisex,49 mm,
2129,"Longines Présence
L4.922.2.11.7","$1,768",Longines,Présence,L4.922.2.11.7,Automatic,Gold/Steel,Gold/Steel,2023,New,Men's watch/Unisex,40 mm,
8777,"Hublot Classic Fusion
Black Magic 45mm 511.CM.1171.RX Rubber Strap Black Ceramic","$5,710",Hublot,Classic Fusion,511.CM.1171.RX,,,,2022,Very good,Men's watch/Unisex,45 mm,
6030,"Seiko GS
セイコー　GS SBGH045 / 9S85-00W0","$3,683",Seiko,,,Automatic,Titanium,,Unknown,Very good,,40 mm,
3532,"Hublot Big Bang
Integral Grey Ceramic 42mm","$22,393",Hublot,Big Bang,451.FX.6923.FX,Automatic,Ceramic,Ceramic,2023,New,Men's watch/Unisex,42 mm,
15657,"Cartier Rotonde de Cartier
 W1556369","$5,950",Cartier,Rotonde de Cartier,W1556369,Manual winding,Steel,Crocodile skin,Unknown,Very good,Men's watch/Unisex,40 mm,
40193,,"$5,350",Rolex,Datejust 31,68274,,,,Unknown,,,31 mm,Very good
5224,"Hublot Classic Fusion
Aerofusion Chronograph Aluminum Pink 525.UP.0192.RX.JPN","$12,610",Hublot,Classic Fusion,525.UP.0192.RX.JPN,Automatic,,,Unknown,Good,Men's watch/Unisex,45 mm,
11817,"Audemars Piguet Royal Oak Chronograph
SELFWINDING CHRONOGRAPH 26240OR","$142,600",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.1320OR.05,,,,Unknown,Unworn,Men's watch/Unisex,41mm mm,
15276,Omega Seamaster Professional Chronograph 300m 2599.80,,Omega,Seamaster Diver 300 M,,,,,"1999, 2000, 2007, 2012",,Men's watch/Unisex,,
11033,"Breitling Chronomat 44
Black Eye Blue Dial Bezel Diamond AB0110 44mm Stainless Bracelet","$5,415",Breitling,Chronomat 44,AB0110,,,,Unknown,Very good,Men's watch/Unisex,44 mm,
4659,"Audemars Piguet Royal Oak Selfwinding
Pink Gold 41mm","$125,668",Audemars Piguet,Royal Oak Selfwinding,15500OR.OO.1220OR.01,,,,2022,New,Men's watch/Unisex,41 mm,
1562,"Patek Philippe Nautilus
5712/1A Blue","$106,570",Patek Philippe,Nautilus,5712/1A-001,Automatic,Steel,Steel,2018,Good,Men's watch/Unisex,40 mm,
7744,"Hublot Classic Fusion Ultra-Thin
新品 ウブロ　515.NX.0170.LR　クラシックフュージョン　クラシコ　ウルトラシン　手巻","$8,823",Hublot,Classic Fusion Ultra-Thin,515.NX.0170.LR,Manual winding,,,Unknown,New,Men's watch/Unisex,,
2958,"Audemars Piguet
14538BA/002 35302/C-85980","$12,510",Audemars Piguet,,,,,,Unknown,Unworn,Men's watch/Unisex,,
5473,"Jaeger-LeCoultre
Master Mariner","$2,990",Jaeger-LeCoultre,,,,,,1960 (Approximation),Very good,Men's watch/Unisex,,
3220,"IWC Portuguese Yacht Club Chronograph
IW390701 - NEUHEIT 2021 - HAMMER","$14,387",IWC,Portuguese Yacht Club Chronograph,IW390701,,,,2022,New,Men's watch/Unisex,,
11170,"Hublot Classic Fusion Chronograph
42mm 541.OX.1181.LR","$23,534",Hublot,Classic Fusion Chronograph,541.OX.1181.LR,Automatic,Rose gold,Crocodile skin,Unknown,Unworn,Men's watch/Unisex,42 mm,
19156,"Omega Speedmaster Professional Moonwatch
Co-Axial Master Chronometer","$8,380",Omega,Speedmaster Professional Moonwatch,310.30.42.50.01.002,,,,2023,Unworn,Men's watch/Unisex,42 mm,
2558,"Patek Philippe World Time
Complications World Time 38.5 mm",Price on request,Patek Philippe,World Time,5230R-012,Automatic,Rose gold,Crocodile skin,2022,Unworn,Men's watch/Unisex,38.5 mm,
6289,"Breitling
AB0310 メンズ","$6,134",Breitling,,AB0310,,,,Unknown,Good,Men's watch/Unisex,45 mm,
1631,"TAG Heuer Carrera Lady
Quartz Ladies WBK1316.FC8261","$3,136",TAG Heuer,Carrera Lady,WBK1316.FC8261,,,,Unknown,New,Women's watch,36 mm,
19548,"Omega Seamaster 300
Co-Axial Master Chronometer Black Dial 41mm","$6,613",Omega,Seamaster 300,234.32.41.21.01.001,,,,Unknown,New,Men's watch/Unisex,41 x 42 mm,
56960,,"$10,210",Rolex,Datejust 36,16220,,,,2003 (Approximation),,,36 mm,Very good
16954,Omega,"$1,736",Omega,,,,,,1954,,,33 mm,
8528,,"$16,702",Rolex,Datejust 36,116243,,,,2010,,,36 mm,Very good
32720,,"$14,546",Rolex,Sea-Dweller,126600,,Steel,Steel,2019,,,43 mm,Very good
