id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
12887,"Audemars Piguet Royal Oak Perpetual Calendar
39mm Steel Smooth Grey Dial 25820ST.O.0944ST.01","$144,500",Audemars Piguet,Royal Oak Perpetual Calendar,,,,,1999,Very good,Men's watch/Unisex,39 mm,
3677,"Cartier Pasha
De Cartier","$6,864",Cartier,Pasha,WSPA0012,,,,2022 (Approximation),Unworn,Women's watch,35 mm,
13212,,"$10,834",Rolex,Datejust 41,126300,,Steel,Steel,2022,,,41 x 48 mm,New
1815,"Cartier Tank Française
SM white WE1001R8","$14,536",Cartier,Tank Française,WE1001R8,,,,Unknown,Good,Women's watch,,
13083,"Cartier Santos
Octagon 25mm Automatic 2 Tone 0.32TCW Diamond Watch","$3,250",Cartier,Santos,,,,,1990 (Approximation),Very good,Women's watch,,
58769,,"$6,740",Rolex,Datejust 36,116200,,,,Unknown,,,36 mm,Good
25845,,"$15,224",Rolex,Lady-Datejust,179178,,,,2003,,,26 mm,Very good
9872,"Seiko 5 Sports
SRPF21K1 5 Street Fighter V Guile Limited Ed",$436,Seiko,5 Sports,SRPF21K1,Automatic,Steel,Leather,2022,New,Men's watch/Unisex,42.5 mm,
38237,"Omega Seamaster Diver 300 M
Steel Black Dial 41mm Watch B/P 212.30.41.20.01.002","$3,750",Omega,Seamaster Diver 300 M,212.30.41.20.01.002,Automatic,Steel,Steel,Unknown,Very good,,41 mm,
1090,"Breitling Superocean
Yellow Edition 41mm Automático Completo","$2,492",Breitling,Superocean,A17345,,,,Unknown,Very good,Men's watch/Unisex,41 mm,
2449,"Patek Philippe Nautilus
Ladies Nautilus",Price on request,Patek Philippe,Nautilus,7010R-011,,,,Unknown,New,Women's watch,32mm mm,
1826,"Oris Aquis Date
Calibre 400","$3,728",Oris,Aquis Date,,,,,Unknown,New,,41.5 mm,
4681,"Breitling Navitimer
Automatic",Price on request,Breitling,Navitimer,A17395211A1P1,,,,2023 (Approximation),Unworn,Women's watch,35 mm,
50410,,"$6,599",Rolex,Datejust 36,16234,,,,Unknown,,,36 mm,Very good
24608,"Omega De Ville
161.024 デビル Cal.711 自動巻き メンズ 758220 中古",$414,Omega,De Ville,161.024,Automatic,Steel,Steel,Unknown,Fair,Men's watch/Unisex,34 mm,
2067,"Oris Big Crown ProPilot Day Date
01 752 7698 4063-07 8 22 19","$1,626",Oris,Big Crown ProPilot Day Date,01 752 7698 4063-07 8 22 19,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,45 mm,
13951,"Breitling Chronomat Evolution
18K Gold Automatic Diamonds","$4,999",Breitling,Chronomat Evolution,,,,,Unknown,Very good,Men's watch/Unisex,44 mm,
19356,"Seiko Bullhead
6138-0049","$1,750",Seiko,Bullhead,6138-0049,,,,1975,Very good,Men's watch/Unisex,44 mm x 47.5mm mm,
29151,"Omega Speedmaster Professional Moonwatch
Ck2998","$10,033",Omega,Speedmaster Professional Moonwatch,311.33.40.30.02.001,Manual winding,Steel,Leather,2016,Very good,Men's watch/Unisex,39.7 mm,
41773,,"$49,950",Rolex,Daytona,116505,,Rose gold,Rose gold,2019,,,40 mm,Very good
11097,"Cartier Ballon Bleu 28mm
カルティエ Cartier バロンブルーW3BB0009","$15,875",Cartier,Ballon Bleu 28mm,W3BB0009,Quartz,Gold/Steel,,Unknown,Unworn,Women's watch,28 mm,
9776,,"$24,329",Rolex,Daytona,116520,,,,Unknown,,,39 mm,Good
42708,,"$42,975",Rolex,Day-Date 36,128238,,Yellow gold,Yellow gold,2022,,,36 x 43 mm,New
1242,"Seiko 5 Sports
Military Automatic Polyester SNZG09K1-var-NATO25 100M Men's Watch",$170,Seiko,5 Sports,SNZG09K1,Automatic,Steel,,Unknown,New,Men's watch/Unisex,43 mm,
10398,"Seiko Prospex
japan edition reissue turtle automatic SBDC109 SPB151J1men's watch",$895,Seiko,Prospex,SBDC109,,,,Unknown,New,,,
18525,,"$8,859",Rolex,Explorer,214270,,Steel,Steel,2015 (Approximation),,,39 mm,Very good
12721,"Omega De Ville Prestige
424.10.33.20.52.002","$4,332",Omega,De Ville Prestige,424.10.33.20.52.002,,,,2023,Unworn,Women's watch,32.7 mm,
9881,"Seiko Chronograph
Jumbo Chronograph",$679,Seiko,Chronograph,6138-3000,,,,1973 (Approximation),Good,Men's watch/Unisex,42 x 48 mm,
2877,"Omega De Ville Prestige
424.10.33.20.55.002",Price on request,Omega,De Ville Prestige,424.10.33.20.55.002,Automatic,Steel,Steel,2023,New,Women's watch,32.7 mm,
